,fecha,producto,productos_vendidos,precio_producto
246,2009-01-27,16,1,3.75
247,2018-11-20,9,4,21.8
248,2013-10-01,2,1,3.57
249,2009-04-06,13,3,1.78
250,2003-08-12,2,1,3.57
251,2023-07-12,4,1,9.13
252,2006-03-30,1,3,23.06
253,2007-01-12,13,1,1.78
254,2008-03-29,12,3,0.53
255,2005-03-15,17,3,23.49
256,2023-04-11,17,4,23.49
257,2011-02-12,16,1,3.75
258,2001-03-04,3,1,10.65
259,2008-07-28,3,1,10.65
260,2005-10-12,6,1,15.76
261,2019-12-04,5,3,0.96
262,2011-09-04,18,2,26.59
263,2001-07-21,12,2,0.53
264,2000-01-04,11,3,3.5
265,2014-04-12,14,1,2.81
266,2011-11-24,6,1,15.76
267,2023-04-22,15,1,13.53
268,2004-12-06,10,3,3.35
269,2017-10-11,13,3,1.78
270,2001-08-12,19,1,7.29
271,2001-05-26,5,4,0.96
272,2022-03-29,12,2,0.53
273,2014-08-31,9,1,21.8
274,2005-06-08,8,2,2.11
275,2012-07-04,9,1,21.8
276,2013-07-22,8,4,2.11
277,2002-04-26,0,2,20.15
278,2001-12-25,19,4,7.29
279,2002-12-03,9,3,21.8
280,2011-05-01,16,2,3.75
281,2022-12-16,18,3,26.59
282,2003-09-06,5,1,0.96
283,2013-02-25,15,3,13.53
284,2023-07-04,0,4,20.15
285,2008-01-15,7,1,26.32
286,2023-01-03,2,2,3.57
287,2004-01-05,18,3,26.59
288,2010-01-07,16,1,3.75
289,2011-02-12,19,3,7.29
290,2004-10-18,5,2,0.96
291,2011-12-19,18,4,26.59
292,2012-03-17,16,4,3.75
293,2000-01-13,6,3,15.76
294,2009-11-11,16,4,3.75
295,2000-11-26,5,4,0.96
296,2010-08-21,9,2,21.8
297,2007-03-08,13,1,1.78
298,2023-06-15,14,3,2.81
299,2018-03-04,0,4,20.15
300,2012-03-09,5,4,0.96
301,2013-12-30,16,3,3.75
302,2011-12-10,15,3,13.53
303,2021-06-02,1,4,23.06
304,2018-10-27,9,2,21.8
305,2022-06-21,18,4,26.59
306,2020-02-12,6,4,15.76
307,2017-10-19,3,1,10.65
308,2002-12-12,6,4,15.76
309,2009-03-27,6,1,15.76
310,2017-10-25,16,3,3.75
311,2010-07-19,15,4,13.53
312,2006-02-07,13,1,1.78
313,2007-09-07,11,2,3.5
314,2006-08-10,16,1,3.75
315,2018-06-23,1,3,23.06
316,2017-02-04,0,2,20.15
317,2007-10-31,16,4,3.75
318,2011-08-13,7,3,26.32
319,2005-11-22,13,2,1.78
320,2011-08-19,17,2,23.49
321,2008-04-07,3,2,10.65
322,2008-01-19,12,2,0.53
323,2012-11-11,0,3,20.15
324,2002-06-01,7,2,26.32
325,2013-05-20,6,3,15.76
326,2015-09-30,5,4,0.96
327,2001-10-15,11,4,3.5
328,2002-09-22,17,3,23.49
329,2017-06-26,19,3,7.29
330,2016-03-27,8,2,2.11
331,2014-01-23,12,2,0.53
332,2022-03-07,17,2,23.49
333,2009-01-24,0,1,20.15
334,2019-04-21,0,3,20.15
335,2010-10-14,5,3,0.96
336,2020-09-28,3,2,10.65
337,2007-04-14,19,3,7.29
338,2007-09-14,6,2,15.76
339,2012-10-10,12,4,0.53
340,2022-01-26,15,1,13.53
341,2017-07-28,9,4,21.8
342,2015-06-07,7,1,26.32
343,2010-02-18,7,3,26.32
344,2006-01-27,11,1,3.5
345,2006-04-30,13,3,1.78
346,2011-12-22,2,2,3.57
347,2022-06-21,14,4,2.81
348,2008-08-14,2,4,3.57
349,2013-04-22,18,1,26.59
350,2019-03-12,14,3,2.81
351,2018-10-02,3,3,10.65
352,2018-11-21,18,2,26.59
353,2011-04-04,5,3,0.96
354,2006-12-17,3,4,10.65
355,2005-03-10,19,4,7.29
356,2006-02-25,18,4,26.59
357,2008-07-10,6,2,15.76
358,2022-04-23,12,1,0.53
359,2022-05-09,15,2,13.53
360,2002-07-27,5,2,0.96
361,2020-10-22,13,3,1.78
362,2014-04-15,2,4,3.57
363,2002-04-13,13,3,1.78
364,2016-03-27,19,1,7.29
365,2013-08-12,15,2,13.53
366,2016-08-19,6,4,15.76
367,2013-02-15,8,3,2.11
368,2017-11-17,18,1,26.59
369,2021-03-22,4,2,9.13
370,2005-05-06,13,4,1.78
371,2013-12-10,19,3,7.29
372,2021-10-17,6,4,15.76
373,2007-06-26,14,4,2.81
374,2008-11-09,18,1,26.59
375,2022-11-22,13,2,1.78
376,2021-08-25,12,3,0.53
377,2017-10-22,4,4,9.13
378,2018-02-18,0,2,20.15
379,2017-07-05,9,3,21.8
380,2009-12-24,7,3,26.32
381,2005-01-14,19,3,7.29
382,2000-02-22,3,4,10.65
383,2014-09-15,12,3,0.53
384,2022-05-22,6,1,15.76
385,2017-05-10,8,1,2.11
386,2005-05-22,17,1,23.49
387,2018-09-10,5,2,0.96
388,2017-04-16,10,2,3.35
389,2023-02-23,4,3,9.13
390,2001-07-10,18,1,26.59
391,2008-06-12,7,3,26.32
392,2018-04-03,12,1,0.53
393,2008-04-04,18,4,26.59
394,2012-02-03,9,3,21.8
395,2019-05-14,14,1,2.81
396,2005-03-18,15,3,13.53
397,2011-09-09,11,1,3.5
398,2023-11-15,4,4,9.13
399,2022-01-10,8,1,2.11
400,2005-09-13,2,1,3.57
401,2018-05-26,18,2,26.59
402,2008-08-24,12,4,0.53
403,2005-10-20,17,2,23.49
404,2010-08-29,6,4,15.76
405,2010-01-03,8,2,2.11
406,2009-12-23,0,3,20.15
407,2021-06-18,5,2,0.96
408,2020-09-12,15,1,13.53
409,2000-12-15,17,4,23.49
410,2022-04-15,3,1,10.65
411,2016-10-17,0,2,20.15
412,2020-11-09,19,3,7.29
413,2020-01-03,8,4,2.11
414,2003-12-31,9,3,21.8
415,2012-06-12,12,2,0.53
416,2023-10-26,13,1,1.78
417,2012-02-22,13,4,1.78
418,2012-03-26,8,2,2.11
419,2019-05-18,4,2,9.13
420,2013-07-07,1,1,23.06
421,2005-10-26,1,3,23.06
422,2007-07-17,2,2,3.57
423,2004-02-25,16,1,3.75
424,2022-09-23,10,2,3.35
425,2008-04-08,8,4,2.11
426,2008-10-23,16,3,3.75
427,2000-02-24,14,3,2.81
428,2022-07-08,3,1,10.65
429,2022-08-25,16,2,3.75
430,2017-09-09,6,2,15.76
431,2006-05-22,8,2,2.11
432,2019-01-13,2,4,3.57
433,2010-08-26,9,3,21.8
434,2006-12-30,4,4,9.13
435,2010-06-19,6,1,15.76
436,2012-05-15,9,2,21.8
437,2019-08-08,15,2,13.53
438,2008-11-26,12,4,0.53
439,2002-05-29,1,3,23.06
440,2012-12-13,11,1,3.5
441,2007-04-14,12,4,0.53
442,2007-06-23,2,2,3.57
443,2010-07-25,19,2,7.29
444,2022-03-25,7,2,26.32
445,2003-09-27,9,4,21.8
446,2001-07-20,3,4,10.65
447,2019-06-26,5,4,0.96
448,2002-03-31,14,4,2.81
449,2008-06-25,8,1,2.11
450,2003-11-19,2,4,3.57
451,2020-07-09,16,1,3.75
452,2012-03-23,12,3,0.53
453,2016-09-04,6,2,15.76
454,2018-07-16,7,2,26.32
455,2017-04-12,9,3,21.8
456,2020-07-17,4,2,9.13
457,2009-12-25,10,3,3.35
458,2004-07-20,13,4,1.78
459,2009-05-19,11,4,3.5
460,2014-06-05,5,4,0.96
461,2016-12-19,15,4,13.53
462,2023-11-13,7,3,26.32
463,2008-10-29,14,1,2.81
464,2007-03-05,10,4,3.35
465,2011-07-11,6,2,15.76
466,2000-05-17,19,4,7.29
467,2001-07-14,15,4,13.53
468,2006-02-24,10,4,3.35
469,2017-04-05,6,1,15.76
470,2020-08-27,0,1,20.15
471,2003-03-27,15,4,13.53
472,2019-06-12,6,3,15.76
473,2017-03-08,16,3,3.75
474,2006-08-19,18,3,26.59
475,2004-09-01,0,2,20.15
476,2001-02-07,4,2,9.13
477,2019-02-07,14,2,2.81
478,2014-08-31,15,2,13.53
479,2003-08-26,10,4,3.35
480,2005-08-23,15,1,13.53
481,2019-12-02,13,1,1.78
482,2014-03-19,8,1,2.11
483,2016-05-16,1,1,23.06
484,2022-03-29,15,3,13.53
485,2001-07-24,4,4,9.13
486,2008-08-30,16,4,3.75
487,2023-04-23,7,3,26.32
488,2023-06-07,12,2,0.53
489,2009-06-18,10,1,3.35
490,2001-07-07,10,4,3.35
491,2020-10-23,0,2,20.15
492,2003-01-18,2,2,3.57
493,2019-06-21,2,4,3.57
494,2007-05-19,1,4,23.06
495,2017-03-24,12,3,0.53
496,2006-08-04,16,4,3.75
497,2007-08-10,3,3,10.65
498,2013-01-05,14,3,2.81
499,2000-08-05,10,2,3.35
500,2010-01-12,17,4,23.49
501,2020-10-12,1,1,23.06
502,2007-02-26,15,2,13.53
503,2014-09-02,7,4,26.32
504,2015-08-22,18,3,26.59
505,2002-05-15,17,2,23.49
506,2021-10-26,8,3,2.11
507,2021-05-14,1,2,23.06
508,2000-10-16,16,1,3.75
509,2004-08-13,10,4,3.35
510,2015-09-07,13,1,1.78
511,2012-04-07,11,1,3.5
512,2014-08-21,1,3,23.06
513,2006-02-19,0,1,20.15
514,2010-08-27,17,1,23.49
515,2013-12-19,8,3,2.11
516,2013-10-30,3,1,10.65
517,2005-03-08,13,2,1.78
518,2019-11-21,5,1,0.96
519,2021-05-06,8,4,2.11
520,2022-08-24,19,4,7.29
521,2018-09-20,13,1,1.78
522,2014-11-04,6,1,15.76
523,2000-05-20,16,3,3.75
524,2009-10-21,3,1,10.65
525,2022-06-10,6,2,15.76
526,2020-10-02,19,1,7.29
527,2014-09-08,1,2,23.06
528,2021-01-02,6,4,15.76
529,2013-10-28,9,2,21.8
530,2012-02-01,4,4,9.13
531,2013-09-12,2,1,3.57
532,2019-12-13,14,1,2.81
533,2017-05-18,11,3,3.5
534,2003-12-24,12,1,0.53
535,2008-04-05,14,1,2.81
536,2010-01-29,9,4,21.8
537,2022-02-28,0,2,20.15
538,2017-12-15,2,1,3.57
539,2004-09-29,10,1,3.35
540,2010-02-24,11,4,3.5
541,2007-04-18,19,2,7.29
542,2014-12-09,9,2,21.8
543,2002-01-18,0,4,20.15
544,2021-11-09,16,4,3.75
545,2015-03-11,15,1,13.53
546,2021-09-26,6,2,15.76
547,2018-02-13,0,3,20.15
548,2020-01-09,0,2,20.15
549,2016-06-10,14,2,2.81
550,2023-10-06,17,2,23.49
551,2020-04-28,14,2,2.81
552,2011-10-13,1,3,23.06
553,2022-12-20,7,2,26.32
554,2013-05-12,6,4,15.76
555,2021-10-14,11,2,3.5
556,2018-12-14,7,4,26.32
557,2000-07-04,11,3,3.5
558,2023-07-24,10,2,3.35
559,2013-12-21,3,3,10.65
560,2021-07-02,9,2,21.8
561,2009-06-14,11,4,3.5
562,2009-05-21,17,4,23.49
563,2022-02-24,13,4,1.78
564,2010-07-17,6,4,15.76
565,2007-07-26,12,1,0.53
566,2013-12-05,7,1,26.32
567,2005-02-18,1,1,23.06
568,2007-01-06,11,2,3.5
569,2023-05-01,14,3,2.81
570,2001-04-20,9,3,21.8
571,2020-12-13,6,4,15.76
572,2019-04-18,8,3,2.11
573,2007-04-14,18,2,26.59
574,2002-09-01,15,4,13.53
575,2020-04-05,19,4,7.29
576,2014-03-25,9,4,21.8
577,2011-08-29,7,2,26.32
578,2004-05-28,16,1,3.75
579,2013-11-25,1,4,23.06
580,2012-11-10,16,2,3.75
581,2023-12-24,0,3,20.15
582,2017-10-13,3,2,10.65
583,2009-04-13,1,2,23.06
584,2018-09-24,3,1,10.65
585,2014-02-08,8,3,2.11
586,2016-08-17,4,4,9.13
587,2020-03-02,5,2,0.96
588,2000-05-09,6,1,15.76
589,2008-01-14,2,1,3.57
590,2004-02-11,19,2,7.29
591,2007-05-26,1,3,23.06
592,2010-05-22,7,1,26.32
593,2011-02-17,14,2,2.81
594,2012-12-19,9,4,21.8
595,2016-11-29,11,2,3.5
596,2012-04-24,4,1,9.13
597,2009-04-30,3,4,10.65
598,2023-04-13,6,1,15.76
599,2009-08-17,12,2,0.53
600,2000-04-26,1,1,23.06
601,2014-12-12,15,1,13.53
602,2011-10-18,1,2,23.06
603,2020-08-03,11,2,3.5
604,2001-07-20,3,4,10.65
605,2007-05-11,8,3,2.11
606,2019-06-14,18,4,26.59
607,2004-07-31,14,4,2.81
608,2007-03-26,3,1,10.65
609,2010-10-10,12,2,0.53
610,2017-09-06,17,3,23.49
611,2007-11-08,16,2,3.75
612,2012-09-11,6,4,15.76
613,2010-09-24,14,1,2.81
614,2010-04-10,1,3,23.06
615,2017-08-07,8,4,2.11
616,2007-05-18,0,3,20.15
617,2014-05-27,11,4,3.5
618,2013-02-04,4,1,9.13
619,2009-03-02,1,2,23.06
620,2012-10-29,2,1,3.57
621,2018-12-26,1,4,23.06
622,2019-05-04,0,3,20.15
623,2020-03-03,1,2,23.06
624,2001-02-20,17,1,23.49
625,2013-10-12,12,3,0.53
626,2018-06-04,19,3,7.29
627,2001-05-19,19,3,7.29
628,2012-04-22,16,1,3.75
629,2007-05-26,4,2,9.13
630,2018-12-26,8,3,2.11
631,2015-03-26,6,4,15.76
632,2005-12-13,9,1,21.8
633,2020-01-12,2,4,3.57
634,2005-07-28,14,2,2.81
635,2010-06-09,7,4,26.32
636,2013-07-25,17,2,23.49
637,2009-07-10,10,4,3.35
638,2005-07-07,9,4,21.8
639,2015-06-30,12,3,0.53
640,2008-02-25,4,4,9.13
641,2007-06-28,15,4,13.53
642,2015-04-25,13,2,1.78
643,2014-06-20,19,4,7.29
644,2014-11-25,9,3,21.8
645,2016-04-30,9,2,21.8
646,2005-11-14,2,4,3.57
647,2001-03-16,16,3,3.75
648,2007-03-25,5,2,0.96
649,2006-11-23,5,4,0.96
650,2006-03-21,19,1,7.29
651,2001-09-02,14,1,2.81
652,2023-06-05,5,4,0.96
653,2002-12-13,17,4,23.49
654,2012-03-24,7,4,26.32
655,2021-04-26,18,4,26.59
656,2001-01-30,1,3,23.06
657,2000-02-06,0,2,20.15
658,2006-01-20,4,3,9.13
659,2013-06-14,7,2,26.32
660,2008-12-09,9,3,21.8
661,2022-08-29,13,2,1.78
662,2004-04-10,17,2,23.49
663,2012-10-11,16,4,3.75
664,2016-07-09,0,2,20.15
665,2009-03-15,10,2,3.35
666,2002-04-24,14,2,2.81
667,2015-07-14,8,1,2.11
668,2023-05-02,6,3,15.76
669,2005-12-23,4,4,9.13
670,2020-02-24,11,2,3.5
671,2013-03-10,17,1,23.49
672,2023-01-02,16,4,3.75
673,2013-05-30,2,3,3.57
674,2017-04-29,17,1,23.49
675,2016-03-03,7,2,26.32
676,2016-07-05,15,3,13.53
677,2019-02-12,5,2,0.96
678,2004-06-08,0,2,20.15
679,2011-11-22,7,3,26.32
680,2011-04-07,2,3,3.57
681,2001-10-06,5,2,0.96
682,2022-11-05,18,4,26.59
683,2004-09-19,14,3,2.81
684,2016-05-02,3,1,10.65
685,2022-07-04,12,3,0.53
686,2004-03-06,14,4,2.81
687,2020-02-02,4,2,9.13
688,2017-10-23,1,2,23.06
689,2012-12-28,3,4,10.65
690,2015-09-12,13,2,1.78
691,2022-04-07,1,3,23.06
692,2023-09-22,4,2,9.13
693,2005-02-12,11,3,3.5
694,2007-10-04,10,4,3.35
695,2019-08-28,12,3,0.53
696,2001-04-29,15,2,13.53
697,2011-01-28,1,1,23.06
698,2000-02-09,19,3,7.29
699,2018-08-14,2,4,3.57
700,2015-07-23,5,1,0.96
701,2015-08-29,10,3,3.35
702,2021-11-09,7,3,26.32
703,2017-12-20,4,3,9.13
704,2005-03-19,18,3,26.59
705,2008-12-21,9,1,21.8
706,2014-11-04,0,1,20.15
707,2010-01-09,13,4,1.78
708,2009-07-10,3,2,10.65
709,2021-07-10,13,4,1.78
710,2013-06-02,8,3,2.11
711,2008-11-29,6,1,15.76
712,2002-03-15,9,4,21.8
713,2022-02-17,13,3,1.78
714,2008-02-12,13,4,1.78
715,2022-02-18,11,4,3.5
716,2022-04-18,11,1,3.5
717,2023-10-07,11,3,3.5
718,2016-08-15,1,2,23.06
719,2022-09-05,4,4,9.13
720,2010-07-26,0,1,20.15
721,2000-10-17,8,1,2.11
722,2018-03-20,6,3,15.76
723,2023-08-07,19,4,7.29
724,2014-11-13,0,2,20.15
725,2013-12-31,3,1,10.65
726,2018-11-26,6,3,15.76
727,2020-04-06,16,2,3.75
728,2014-01-07,12,2,0.53
729,2008-10-01,2,1,3.57
730,2019-11-04,15,1,13.53
731,2017-11-22,2,4,3.57
732,2011-12-02,5,4,0.96
733,2011-08-07,0,1,20.15
734,2006-04-17,8,3,2.11
735,2021-09-08,0,2,20.15
736,2020-03-25,2,3,3.57
737,2002-03-18,3,1,10.65
738,2021-12-06,3,4,10.65
739,2021-12-20,3,1,10.65
740,2009-01-06,0,1,20.15
741,2014-05-30,2,2,3.57
742,2000-03-03,6,2,15.76
743,2013-03-04,0,1,20.15
744,2015-09-13,7,4,26.32
745,2018-12-05,1,3,23.06
746,2020-01-08,15,2,13.53
747,2023-11-16,6,4,15.76
748,2013-08-14,4,2,9.13
749,2012-06-30,19,3,7.29
750,2003-04-03,14,1,2.81
751,2005-12-14,16,4,3.75
752,2008-06-14,1,2,23.06
753,2014-07-10,8,4,2.11
754,2007-03-18,18,4,26.59
755,2008-06-13,18,3,26.59
756,2005-08-29,17,1,23.49
757,2012-10-26,18,1,26.59
758,2021-06-25,9,1,21.8
759,2005-05-02,16,3,3.75
760,2007-12-10,1,1,23.06
761,2009-12-13,7,2,26.32
762,2014-05-02,12,3,0.53
763,2006-07-18,13,4,1.78
764,2016-12-19,16,4,3.75
765,2021-01-18,7,3,26.32
766,2010-04-29,11,3,3.5
767,2016-12-29,8,1,2.11
768,2016-09-12,3,1,10.65
769,2001-05-04,10,1,3.35
770,2008-03-31,3,1,10.65
771,2017-12-20,17,4,23.49
772,2008-03-20,5,3,0.96
773,2021-05-17,13,1,1.78
774,2018-03-09,5,2,0.96
775,2009-05-14,15,3,13.53
776,2004-01-11,17,4,23.49
777,2009-03-05,3,3,10.65
778,2018-05-28,8,3,2.11
779,2017-09-15,4,4,9.13
780,2007-06-29,1,2,23.06
781,2016-03-02,6,2,15.76
782,2008-03-02,10,2,3.35
783,2002-06-12,8,3,2.11
784,2001-06-17,2,3,3.57
785,2010-08-13,10,2,3.35
786,2013-09-09,15,1,13.53
787,2010-11-05,17,2,23.49
788,2016-07-28,4,4,9.13
789,2001-12-13,6,3,15.76
790,2001-05-16,6,3,15.76
791,2020-06-08,4,4,9.13
792,2016-09-11,19,1,7.29
793,2000-07-17,19,4,7.29
794,2006-07-09,8,2,2.11
795,2023-06-09,4,2,9.13
796,2002-08-22,0,1,20.15
797,2002-02-11,1,1,23.06
798,2003-10-06,9,3,21.8
799,2012-11-04,13,2,1.78
800,2003-06-20,0,1,20.15
801,2000-02-16,17,1,23.49
802,2005-10-23,1,1,23.06
803,2002-04-14,19,2,7.29
804,2001-07-26,18,1,26.59
805,2012-09-02,15,4,13.53
806,2015-09-28,18,2,26.59
807,2023-06-22,16,4,3.75
808,2019-07-14,7,1,26.32
809,2016-07-10,16,3,3.75
810,2003-04-17,13,1,1.78
811,2013-03-23,4,2,9.13
812,2022-12-12,9,4,21.8
813,2005-04-09,3,1,10.65
814,2017-02-21,10,4,3.35
815,2019-05-25,9,2,21.8
816,2002-06-06,13,1,1.78
817,2017-12-18,0,3,20.15
818,2022-10-18,18,3,26.59
819,2009-04-16,15,1,13.53
