Nombre empresaAlfabeto latino,NACE Rev. 2 Código principal (4 digitos),Código de consolidación,Último año disponible,"Ingresos explotación (Cifra ventas)
mil USD Últ, año disp,","Número de empleados
Últ. año disp.","Ciudad
Latin Alphabet","Activos fijos
mil USD Últ. año disp.","Activo circulante
mil USD Últ. año disp.","Activos totales
mil USD Últ. año disp.","Fondos de los accionistas
mil USD Últ. año disp.","Deuda a largo plazo
mil USD Últ. año disp.","Ingresos explotación (Cifra ventas)
mil USD Últ. año disp.","Resultado actividades ordinarias
mil USD Últ. año disp.","P/G por periodo [=ingresos netos]
mil USD Últ. año disp.","ROE - base: result. antes impuestos
Últ. año disp.","ROA utilizando Ingresos Netos
Últ. año disp.","Margen de beneficio
Últ. año disp."
UBESOL SL,1392,C2,2022,286477.305722972,869,ATZENETA D'ALBAIDA,77942.1638508929,135155.556647657,213097.72049855,135049.70444529,11037.151857735,286477.305722972,1222.29772447022,1222.29772447022,1.397,0.574,0.659
ANGLES TEXTIL SA,1310,C2,2021,170850.235336204,1146,ANGLES,68070.3721627833,127439.191391353,195509.563554136,84699.8571127503,33824.6414604956,170850.235336204,1699.33156285193,1699.33156285193,3.23,0.869,1.601
GIRO GH SA,1396,U1,2021,143562.730453269,433,BADALONA,28950.3568180919,73042.6578103352,101993.014628427,66152.1904963946,1636.33448761225,143562.730453269,11237.473371613,11237.473371613,21.501,11.018,9.908
LIWE ESPANOLA S.A.,1399,C1,2022,133807.039000988,1593,PUENTE TOCINOS,40178.8027226925,79530.9908419847,119709.793564677,39951.6170316935,16686.9489938021,133807.039000988,1079.39868211746,1079.39868211746,2.0,0.902,0.597
PGI SPAIN SLU,1395,U1,2022,125458.2732529,245,BARCELONA,39339.0990696503,40757.0481783039,80096.1472479542,38545.3218074535,8694.9566956856,125458.2732529,6012.03477396046,6012.03477396046,20.797,7.506,6.39
BC NONWOVENS S.L.,1395,U1,2022,113409.759430958,206,BARCELONA,55594.0056824631,16142.9555232036,71736.9612056667,25862.0009815222,20479.7383764672,113409.759430958,-393.985851970315,-393.985851970315,-4.966,-0.549,-1.132
TEXTIL SANTANDERINA SA,1320,C2,2022,104065.481088411,272,CABEZON DE LA SAL,20723.8751491573,67451.1294899773,88175.0046391346,46132.7593896595,8550.78827684037,104065.481088411,-1300.15884715338,-1300.15884715338,-5.061,-1.475,-2.244
ORIGINAL BUFF SA,1392,C2,2021,103253.102423973,302,IGUALADA,19092.8353149245,50542.5701130293,69635.4054279538,54806.48442419,4.31686014529109,103253.102423973,16255.403774378,16255.403774378,40.287,23.344,21.384
SAULEDA SA,1320,U1,2021,82655.7139147711,160,BARCELONA,18810.5689030492,60060.1551264007,78870.7240294499,57298.1610192681,1343.5446003572,82655.7139147711,5619.30454894867,5619.30454894867,12.774,7.125,8.855
SEDATEX SA,1320,U1,2022,82177.3441434642,68,OLESA DE MONTSERRAT,55852.7056979059,63972.8453972643,119825.55109517,43978.8249511394,31678.637102782,82177.3441434642,479.949088352186,479.949088352186,1.195,0.401,0.64
INDUSTRIAS MURTRA SA,1392,C2,2021,81899.8235949278,563,GRANOLLERS,51253.3019149303,55930.1518384218,107183.453753352,40348.7928243876,30371.2169610262,81899.8235949278,1263.2934281826,1263.2934281826,4.793,1.179,2.361
VELCRO EUROPE SA,1396,U1,2021,71710.5884671211,351,ARGENTONA,61007.5155615807,26308.0399417877,87315.5555033684,70861.1382365227,1471.24779939651,71710.5884671211,1854.06670331955,1854.06670331955,3.496,2.123,3.454
BANDALUX INDUSTRIAL SA,1392,U1,2022,70779.7343380466,260,MORANA,16966.8838104647,38576.9118824105,55543.7956928752,33394.8362208362,6896.91989963058,70779.7343380466,5598.79549394049,5598.79549394049,21.428,10.08,10.11
ALGODONERA DEL SUR SA,1310,C2,2022,58790.7750046915,271,LEBRIJA,151926.134592863,103679.404818265,255605.539411129,94251.6455469912,53089.7655421674,58790.7750046915,10210.5302361101,10210.5302361101,13.083,3.995,20.974
INTERFABRICS SL,1320,U1,2022,58738.3797554061,83,ALCOI/ALCOY,3941.0837438673,34350.002268921,38291.0860127883,23705.4819484562,2973.55126399978,58738.3797554061,1030.90201395158,1030.90201395158,5.139,2.692,2.074
MARINA TEXTIL SL,1320,U1,2022,55519.2030764764,38,BARBERA DEL VALLES,7893.69885744599,21575.3955119001,29469.0943693461,15006.6826845657,1818.83106457868,55519.2030764764,3099.11738204466,3099.11738204466,26.111,10.517,7.058
FREUDENBERG ESPANA S.A. TELAS SIN TEJER S. EN C.,1395,U1,2021,53030.6115961075,181,PARETS DEL VALLES,10178.6789631844,16634.5007157326,26813.1796789169,18812.491106987,0.0,53030.6115961075,3098.79444122314,3098.79444122314,21.951,11.557,7.787
SA RUBI INDUSTRIAL,1395,C2,2021,52916.9608182549,170,RUBI,24011.0234516215,26130.911447103,50141.9348987246,24358.565253768,9700.25386950731,52916.9608182549,4160.92888795853,4160.92888795853,21.623,8.298,9.953
SELVAFIL SA,1310,U1,2022,51751.0868491374,272,MACANET DE LA SELVA,14349.8879666099,25272.0800996032,39621.9680662131,21383.659001513,5280.08320602743,51751.0868491374,4430.92159712158,4430.92159712158,25.99,11.183,10.739
TEJIDOS ROYO SL,1320,U1,2022,49860.709635973,306,L'ALCUDIA DE CRESPINS,11308.3254339695,42537.8755853176,53846.2010192871,19544.1766662598,10967.6318781376,49860.709635973,-2770.21254086494,-2770.21254086494,-19.255,-5.145,-7.547
TEX ATHENEA SL,1320,U1,2022,49159.5390440703,196,VILLENA,17859.6617773165,27824.1130590624,45683.7748363789,29122.1154660364,3403.90783853986,49159.5390440703,789.223891739845,789.223891739845,2.645,1.728,1.567
TEXTISOL SL,1320,U1,2021,48624.8775282302,109,COCENTAINA,15744.5197035713,23000.4556626288,38744.9753662002,14225.9724766545,13386.8968082424,48624.8775282302,1317.91381009526,1317.91381009526,12.3,3.402,3.599
VELAMEN SA,1392,U2,2021,46933.2631301153,104,BARCELONA,4748.55700410268,32028.0118635283,36776.568867631,30770.9150089929,199.468435471272,46933.2631301153,1957.63597818268,1957.63597818268,8.35,5.323,5.475
BORGERS SAU,1393,U1,2021,43211.2818046009,218,ALCALA DE HENARES,17521.5276571199,9890.11675574899,27411.6444128689,16581.0104609537,6577.18175560956,43211.2818046009,438.508248304303,438.508248304303,2.937,1.6,1.127
FLUVITEX SL,1320,U1,2022,40882.8990694155,106,SANT JOAN LES FONTS,3566.94336195537,13407.8542647344,16974.7976266897,4206.67302139875,1450.43453423091,40882.8990694155,2637.44524387541,2637.44524387541,82.755,15.537,8.515
PONT AURELL Y ARMENGOL SL,1396,C2,2022,38950.8182619941,191,TERRASSA,22918.9628356926,26460.655436035,49379.6182717276,32784.5603969472,4446.68075281792,38950.8182619941,-663.835917141491,-663.835917141491,2.055,-1.344,1.73
FROCA SL,1392,U1,2021,38849.0978381641,57,BIAR,23455.1342165455,20253.8686685847,43709.0028851302,36915.7513105666,1046.88535404174,38849.0978381641,7511.268115186,7511.268115186,26.678,17.185,25.35
COVERCAR SA,1392,U1,2021,38843.0875813725,38,BARCELONA,7201.86422728078,18072.0945994831,25273.9588267639,8542.49631196933,4152.39052004263,38843.0875813725,440.458134126234,440.458134126234,4.814,1.743,1.059
NAVARPLUMA SL,1396,U1,2021,38762.9037095876,35,CENDEA DE OLZA/OLTZA ZENDEA,6651.74498363174,27074.6180251649,33726.3630087967,10710.4615251626,5615.87638779658,38762.9037095876,1528.06667595752,1528.06667595752,19.25,4.531,5.319
ALICANTE NONWOVENS SA.,1320,U1,2021,38706.9892204001,67,EL CAMP DE MIRRA/CAMPO DE MIRRA,15474.6872847685,15062.5354826105,30537.222767379,12270.0315696114,14723.8039970398,38706.9892204001,1948.95228632134,1948.95228632134,23.553,6.382,7.466
ILUNION TEXTIL S.A.U.,1399,U1,2022,38091.0888813525,98,ONZONILLA,7817.1289814353,10465.2256611103,18282.3546425456,8429.02217545629,0.0,38091.0888813525,1137.02598586857,1137.02598586857,17.024,6.219,3.767
COTOBLAU SA,1399,U1,2019,37812.9679443261,209,ONTINYENT,5354.90116286727,11743.5776648982,17098.4788277654,11899.6140288485,498.094240408168,37812.9679443261,1847.57305716162,1847.57305716162,20.315,10.805,6.393
GOTEX S.A.U.,1399,U1,2022,37497.7961158073,103,LLICA D'AMUNT,5103.72334849477,11598.5057495761,16702.2290980709,8153.65285257518,2309.40121197701,37497.7961158073,826.114368240237,829.314166705012,13.66,4.965,2.97
DOMENECH HERMANOS SAU,1393,U1,2021,36708.129806478,70,MURO DE ALCOY,7941.62912889719,15068.2605959487,23009.8897248459,5851.36316185713,1223.86410763979,36708.129806478,2260.09825054407,2260.09825054407,43.689,9.822,6.964
INDUSTRIAL MARIN TEXTIL SL,1320,U1,2021,35475.221466321,107,CASTELLO DE LA PLANA,10394.4002810238,24655.9722881104,35050.3725691342,14397.3671709567,8186.10209449375,35475.221466321,781.710153725195,781.710153725195,6.032,2.23,2.448
HISPANO TEX SAU,1320,U1,2021,34730.1212810662,105,SANT CUGAT DEL VALLES,3646.97197069573,16579.2889651164,20226.2609358121,17849.154370434,0.0,34730.1212810662,162.057344825363,162.057344825363,1.225,0.801,0.63
LLAZA WORLD SOCIEDAD ANONIMA.,1392,U1,2021,32185.4789126777,94,ALCOVER,3118.43068391273,15812.5483065774,18930.9789904902,8329.51849283066,1606.91798065775,32185.4789126777,4536.33965844513,4536.33965844513,66.744,23.963,17.273
DISENO Y APLICACIONES DEL NO-TEJIDO SL,1395,U1,2022,31709.3178263957,157,ALCALA LA REAL,8159.76425432301,22809.2109322762,30968.9751865993,24221.0125077548,387.252046757114,31709.3178263957,2713.66132883585,2713.66132883585,14.395,8.763,10.996
THINKTEXTIL SLU,1330,U2,2018,31562.9336197599,643,ALOVERA,3397.64952209687,10069.6892541795,13467.3387762764,4883.99767107701,53.7245720721483,31562.9336197599,-220.859161292315,-220.859161292315,-2.61,-1.64,-0.404
ACOLCHAMAR SL,1330,U1,1998,30713.7711734598,10,ALCOY/ALCOI,368.36969155097,9536.2563815074,9904.62493466377,418.356598181963,0.0,30713.7711734598,287.930729525328,294.121319328547,106.68,2.97,1.453
BENIPLAST BENITEX SA,1396,U1,2021,30554.6341866016,226,BENIGANIM,4760.70417637825,28241.5891368842,33002.2933132625,24885.4044801879,693.406223237514,30554.6341866016,3399.6674477005,3399.6674477005,17.807,10.301,14.503
TEXTIL PLANAS OLIVERAS SA,1320,C2,2021,30247.6396328939,131,MANRESA,3279.69753030052,20583.4500688135,23863.147599114,9329.54031093049,3949.47532133768,30247.6396328939,146.773819949777,146.773819949777,-0.096,0.615,-0.03
INDUSTRIA DESMOTADORA ANDALUZA SL,1310,U1,2021,30180.9351842224,37,LAS CABEZAS DE SAN JUAN,20659.3509046601,15460.422376438,36119.7732810981,6710.54268959477,16788.7633013739,30180.9351842224,801.304184348345,801.304184348345,14.493,2.218,3.222
"HEIMBACH IBERICA, SOCIEDAD ANONIMA",1396,U1,2022,30035.4415893555,119,BURGOS,5583.64832103252,16619.7532260418,22203.4015470743,17548.7613803148,0.0,30035.4415893555,2739.02748584747,2739.02748584747,19.407,12.336,11.339
BADALONA PAC SL,1396,U1,2022,29300.751457543,54,MONTMELO,2467.46913360391,12262.3148950704,14729.7840286743,10581.4010852827,688.086165770513,29300.751457543,2936.4748472106,2936.4748472106,36.472,19.936,13.171
FIL KATIA SA,1310,U1,2022,28925.0173733417,104,CASTELLBELL I EL VILAR,8276.99490803314,25842.0481048954,34119.0430129285,31266.6888408178,213.41598759957,28925.0173733417,438.171218344706,438.171218344706,1.481,1.284,1.601
REALTURF SYSTEMS SL,1393,U1,2021,28163.6428928383,30,ALACANT/ALICANTE,1325.31130972145,16212.2042465987,17537.5155563201,6518.86122101741,3510.61595447946,28163.6428928383,2435.55126580933,2435.55126580933,49.312,13.888,11.414
MARIE CLAIRE SA,1399,U2,2019,28045.2229491491,539,VILAFRANCA /VILLAFRANCA DEL CID,6350.1846090126,22731.2424730685,29081.4270820811,4045.2308841486,11584.0011367598,28045.2229491491,-4917.83785034251,-4917.83785034251,-121.571,-16.911,-17.535
S VILARRASA SA,1310,U1,2022,27844.6043444449,53,BESALU,4639.67480533369,19689.0068890147,24328.6816943484,11435.7078538606,2713.11124081578,27844.6043444449,346.031048342454,346.031048342454,4.063,1.422,1.669
TESCA SPAIN BARCELONA SLU,1391,U1,2021,27369.6511271811,137,MASSANES,9857.99224692822,12997.08120929,22855.0734562182,13702.3967247605,1517.38314032078,27369.6511271811,-192.062962338924,-192.062962338924,-4.651,-0.84,-2.328
GEISA FABRICS SL,1391,U1,2021,26971.150601833,127,VILADECAVALLS,12871.3552585635,13816.4644014602,26687.8196600237,6729.07899611678,7301.04635333355,26971.150601833,-1627.2389584945,-1627.2389584945,-33.283,-6.097,-8.304
CITEL SL,1320,U1,2021,26659.3547753384,100,MADRID,1145.98749586079,20143.5674768595,21289.5549727203,6339.95517810616,3907.20773118138,26659.3547753384,1027.47696793499,1027.47696793499,16.262,4.826,3.867
FRANCISCO PAGES VALENTI SA,1310,U1,2022,26577.7749714104,60,SANT JAUME DE LLIERCA,6725.7382119575,8091.52555491712,14817.2637668746,5521.33738694056,2852.10042809243,26577.7749714104,753.706534088647,753.706534088647,17.135,5.087,3.56
TEXTIL A ORTIZ SA,1320,U1,2022,26152.3595043277,27,SANTA PERPETUA DE MOGODA,2705.93890322298,26795.6015292159,29501.5404324388,9630.44366812267,6391.77557683476,26152.3595043277,881.231270105809,881.231270105809,10.012,2.987,3.687
CETRIKO SL.,1391,U1,2021,25866.1627161062,35,CENTELLES,10654.999039908,8878.26049799452,19533.2595379025,12748.7396094973,1092.77839778223,25866.1627161062,1332.12419504693,1332.12419504693,12.462,6.82,6.142
PIVELLON SL,1391,U1,2020,25302.3372958867,30,POLAN,1877.42599067572,10676.5938183596,12554.0198090353,6277.62511521262,73.428063880353,25302.3372958867,3541.17817996895,3541.17817996895,75.627,28.208,18.764
UNITEX SA,1330,U1,2022,24619.5835322672,311,OLESA DE MONTSERRAT,21389.4210599304,7849.33638222657,29238.757442157,9152.3320181751,16179.3419141199,24619.5835322672,-897.284605673611,-897.284605673611,-13.789,-3.069,-5.126
TEXTILES FERRE SANZ SL,1310,U1,2022,23780.4221244448,40,BANYERES DE MARIOLA,6057.82346904898,10917.6314709074,16975.4549399564,12500.4457313701,0.0,23780.4221244448,2104.07336562284,2104.07336562284,21.542,12.395,11.324
PACT 2004 SA,1320,U1,2022,23599.3732182459,33,BARCELONA,3852.64534604698,4738.35901116819,8591.00435721518,6925.1892124573,683.903591871262,23599.3732182459,-124.115756060749,-124.115756060749,-4.034,-1.445,-1.184
JMOLTO LT SL.,1330,U1,2021,23308.0419535606,142,COCENTAINA,1953.07820313599,13251.0830584014,15204.1612615374,6097.08460409861,1885.58064996657,23308.0419535606,1398.66946920383,1398.66946920383,27.769,9.199,7.264
YKK ESPANA SA,1396,U1,2021,23095.6237024069,123,BARCELONA,9646.76616072655,14777.6468505859,24424.4130113125,18927.1994292736,130.991761445999,23095.6237024069,-449.590367674828,-449.590367674828,-3.167,-1.841,-2.596
TELAS Y FABRICADOS NO TEJIDOS SA,1395,U1,2021,22446.2153935432,64,PIERA,6166.6036850214,16993.4057984352,23160.0094834566,6961.43505108356,6256.52175855637,22446.2153935432,1070.13608503342,1070.13608503342,20.507,4.621,6.36
PINZON SCA,1310,U1,1998,22072.1506436634,27,UTRERA,1831.85904519081,9683.96991047144,11515.8403396082,2414.94475633621,63.795633058548,22072.1506436634,412.542816989422,513.780248250961,18.459,4.462,2.02
ENTEX TEXTIL SL,1310,U1,2021,21912.5254057667,77,VALDEMORO,8126.71419737184,20733.0783711247,28859.7925684966,23888.2351489644,386.866001949692,21912.5254057667,2576.20798171971,2576.20798171971,14.229,8.927,15.512
R. BELDA LLORENS SA,1310,U1,2021,21762.3064410691,143,BANYERES DE MARIOLA,7896.03976927714,21203.5740394412,29099.6138087183,13252.9477035916,2931.31077434671,21762.3064410691,-1437.59596773512,-1437.59596773512,-14.455,-4.94,-8.803
TUVATEXTIL SOCIEDAD LIMITADA.,1320,U1,2022,21690.3307475175,66,EL PONT D'ARMENTERA,1542.66386128439,10838.5585632136,12381.222424498,4485.06840435399,986.146176840895,21690.3307475175,986.252730129772,986.252730129772,26.617,7.966,5.504
SAINT-GOBAIN ADFORS ESPANA SA,1396,U1,2022,21087.8962740178,75,MIRANDA DE EBRO,5877.37180523352,3858.01360526736,9735.38541050088,3443.88132086106,80.6246606252551,21087.8962740178,783.271583971691,783.271583971691,30.314,8.046,4.951
MONDO TUFTING SA,1320,U1,2021,20573.3756230566,89,BORJA,5526.51142123032,13469.2170414157,18995.7284626461,11721.1081435543,2220.8690306026,20573.3756230566,298.047735010386,298.047735010386,3.716,1.569,2.117
CARDIVAIS SA.,1396,U1,2022,20405.0113283884,160,MALAGA,14614.3388198436,13634.857481893,28249.1963017365,11576.5689019071,5291.51686455969,20405.0113283884,-1215.5887603591,-1215.5887603591,-13.121,-4.303,-7.444
CONDEPOLS SA,1320,U1,2022,19776.2957485706,89,ALCALA LA REAL,1601.70605192065,7211.34953568101,8813.05558760166,5162.73936477959,26.2959437835217,19776.2957485706,202.992014806867,202.992014806867,5.268,2.303,1.375
TEXTIL VILLA DE PEGO SOCIEDAD LIMITADA,1320,U1,2021,19453.8400753326,78,PEGO,2501.44113927891,11985.2114962439,14486.6526355228,6113.42614641881,1255.72809573784,19453.8400753326,499.787917526364,499.787917526364,10.74,3.45,3.375
BALANZO TEXTIL SA,1330,U1,2007,19298.3333189117,97,BARCELONA,7128.55923795731,22412.3825683768,29540.9418063341,9228.85089350784,6221.82591323685,19298.3333189117,82.5150081795502,82.5150081795502,0.894,0.279,0.428
SPORT WEAR ARGENTONA SA,1320,U1,2021,18974.4653416018,27,DOSRIUS,11009.4690940472,11329.9719213174,22339.4410153646,9782.02193737872,5659.60046318571,18974.4653416018,1767.26461103297,1767.26461103297,23.747,7.911,12.242
FOAMIZADOS CASTELLANOS SL,1330,U1,2020,18741.9031573851,27,FUENSALIDA,632.104728661054,9350.26001556316,9982.36474422421,4819.45861118775,57.5576939184606,18741.9031573851,2524.61055061347,2524.61055061347,69.421,25.291,17.852
INDUSTRIAS PONSA SA,1392,U1,2022,18637.5841408687,93,MADRID,11531.855600784,12661.3111408008,24193.1667415848,20031.5650787574,421.93112120651,18637.5841408687,3140.83068011912,3140.83068011912,18.324,12.982,19.695
PLA ALBERT SL,1392,U1,2021,18627.5892932421,32,ALBAIDA,725.922124746537,12486.3769841982,13212.2991089448,10720.7149674897,0.0,18627.5892932421,1430.76218480137,1430.76218480137,17.304,10.829,9.959
INDUSTRIAL SEDO SL,1320,U1,2022,18553.475688999,84,LA RIERA DE GAIA,5229.90899018641,12673.0195766932,17902.9285658131,8250.90918034276,1732.54090478766,18553.475688999,-93.9673509195924,-93.9673509195924,-1.052,-0.525,-0.468
SELMARK SL,1320,U1,2022,18306.4755233227,63,VIGO,1173.38682106108,13864.8588675491,15038.2456886101,11987.4899645681,282.679486459774,18306.4755233227,380.336258339226,380.336258339226,3.173,2.529,2.078
VERTISOL INTERNACIONAL SRL,1330,U1,2022,18266.696951392,58,GRANOLLERS,9044.55931063495,15216.0236434924,24260.5829541274,17856.3977268986,2992.73442910593,18266.696951392,1015.19506723359,1015.19506723359,7.33,4.185,7.165
GEOTEXAN SA,1396,U1,2022,18058.9649791253,49,MINAS DE RIOTINTO,6288.29727295041,6575.06321136355,12863.360484314,7285.49633230627,610.425553125143,18058.9649791253,-1209.3584967643,-1209.3584967643,-21.677,-9.402,-8.745
OBJETIVO MODA DESIGNS SL,1391,U1,2022,17480.810097473,32,ARENYS DE MUNT,9938.44824751376,5832.2836050563,15770.7318525701,1586.98484578371,2703.50931758066,17480.810097473,-1593.88547782287,-1593.88547782287,-100.435,-10.107,-9.118
HILATURAS FERRE SA,1320,U1,2021,16921.0031082928,99,BANYERES DE MARIOLA,17598.7081274459,17028.5961167708,34627.3042442167,10192.5694451792,7825.15243399551,16921.0031082928,9.88075977830887,9.88075977830887,0.214,0.029,0.129
PROVEEDORA MONTANESA DE CORDELERIA S L,1310,U1,2022,16914.7871333075,22,MARINA DE CUDEYO,2316.88789777098,10838.0830411638,13154.9709389348,10269.8757463088,0.0,16914.7871333075,1391.58990981786,1391.58990981786,17.856,10.578,10.842
TEXTILS MORA SAL,1392,U1,2021,16791.3698450695,73,ONTINYENT,4733.39123681366,8439.51525194328,13172.9064887569,6545.79318781657,861.758968307876,16791.3698450695,446.870169550896,446.870169550896,9.102,3.392,3.548
SEFAR MAISSA S.A.U.,1399,U1,2022,16637.3171757988,81,CARDEDEU,2907.81393238176,7840.78500615742,10748.5989385392,6367.74931409828,2346.5188741684,16637.3171757988,990.803014202601,990.803014202601,20.755,9.218,7.944
CREACIONES EUROMODA SL,1392,U1,2021,16157.3536007503,54,BOCAIRENT,1804.36456780346,14081.4366617902,15885.8012295937,13073.3421159225,486.03099909448,16157.3536007503,1549.68366909712,1549.68366909712,14.719,9.755,11.91
INDUSTRIAL NEO TEX SA,1393,U1,2019,15946.7580637471,67,BOADILLA DEL MONTE,7093.26289201682,14047.1372510254,21140.4001430422,7331.63282682133,3979.33604662088,15946.7580637471,367.478539069469,367.478539069469,5.955,1.738,2.738
GONZALO FERRI SA,1392,U1,2022,15941.3252999594,50,ONTINYENT,1412.39459412802,16076.4828672324,17488.8774613604,15089.1688066158,0.0,15941.3252999594,1523.52442569066,1523.52442569066,12.805,8.711,12.121
GLATFELTER SONTARA ASTURIAS S.A.U.,1395,U1,2021,15857.5369048119,106,CARRENO,14630.9307718277,2043.21095466614,16674.1417264938,5866.86959266663,6989.27649736404,15857.5369048119,287.680478096008,287.680478096008,6.602,1.725,2.443
HILADOS BENISAIDO SL,1310,U1,2021,15828.3638957623,64,MURO DE ALCOY,3675.37047367702,6733.26176833427,10408.6322420113,2820.26417305512,3405.33042658582,15828.3638957623,457.020850634479,457.020850634479,16.618,4.391,2.961
TEXTIL VALOR SL,1330,U1,2022,15681.7657439869,37,BETERA,4392.22676386629,10113.6041595421,14505.8309234084,2258.46479347569,2985.50309789543,15681.7657439869,800.190091714394,800.190091714394,41.09,5.516,5.918
FUNCOTEX SL,1399,U1,2022,15089.7670836008,108,TORRENT,4356.11182251981,13802.9522493251,18159.0640707783,16073.2523400364,0.0,15089.7670836008,1427.18537348298,1427.18537348298,11.467,7.859,12.214
INTERCOT SA,1310,U1,2022,14849.1322236805,22,SANT FELIU SASSERRA,3055.39370392476,9359.93280190454,12415.3265058293,7045.93922850489,2950.70669750233,14849.1322236805,633.429598644678,633.429598644678,10.995,5.102,5.217
TEXTILES SAR SL,1393,U1,2021,14706.1683003043,27,HELLIN,1880.22517206473,9993.39055897651,11873.6157310412,7466.11258678772,107.597029209137,14706.1683003043,1093.74021328933,1093.74021328933,19.33,9.212,9.814
QUALITAT TECNICA TEXTIL SL,1391,U1,2016,14617.2120774572,22,BARCELONA,792.135422351146,8936.58076297566,9728.7161853268,2083.40246044152,1518.31857590547,14617.2120774572,38.5676360821738,38.5676360821738,-0.214,0.396,-0.03
COMERCIAL MECANO TOLDO SL,1392,U1,2021,14525.9154823674,92,QUART,5868.66034701276,5638.56363568289,11507.2239826957,8303.95578219724,1111.4051650908,14525.9154823674,1453.66934428053,1453.66934428053,22.888,12.633,13.084
PRODUCTOS Y MANGUERAS ESPECIALES SA,1320,U1,2022,14297.1470750944,108,SANTO DOMINGO DE LA CALZADA,18416.3966534138,22282.918597461,40699.3152508748,20680.4819782209,10752.1413820896,14297.1470750944,539.307248420852,539.307248420852,2.725,1.325,3.942
"WINTEX, SOCIEDAD ANONIMA",1330,U1,2022,14284.1411635884,82,ALBAIDA,6370.1713802142,16611.1743317058,22981.34571192,13860.3491782528,3334.30609964994,14284.1411635884,194.957843495566,194.957843495566,2.294,0.848,2.226
APRESTOS DE LANERIA SA,1330,U1,2022,14283.6441602249,50,SABADELL,5102.66561244826,5842.40586885176,10945.0714813,4990.41768490747,1735.93032330946,14283.6441602249,966.955364216417,966.955364216417,22.195,8.835,7.754
LACOR TEXTIL SOCIEDAD LIMITADA.,1330,U1,2022,14250.6926249686,233,ZARAGOZA,1526.90393656981,2541.93060907619,4068.834545646,1649.85328076219,384.353615977746,14250.6926249686,301.614677850896,301.614677850896,23.301,7.413,2.698
NORTH SAILS SL,1392,U1,2021,13589.2379937856,63,CUNTIS,6449.53627388191,4200.35157868452,10649.8878525664,6196.37582221298,554.907531107569,13589.2379937856,9.67557790660858,9.67557790660858,0.156,0.091,0.071
PERSIANAS ROMA SL,1399,U1,2022,13581.236698063,89,SAN CIBRAO DAS VINAS,4533.0218534005,8794.92839865287,13327.9502520534,7916.79163231035,935.369204297078,13581.236698063,770.186936091548,770.186936091548,12.691,5.779,7.398
SPACIO REPOS SL,1399,U1,2022,13540.7354207176,64,LEGANES,797.326848052144,7338.64925120413,8135.97609925628,4517.13416073322,220.862889232635,13540.7354207176,82.083363417387,82.083363417387,2.428,1.009,0.81
CANDIDO PENALBA SL,1320,U1,2022,13534.0576119775,17,ALBAIDA,335.632385955608,6727.86296346607,7063.49534942167,3912.35357473369,0.0,13534.0576119775,572.143132294589,572.143132294589,19.211,8.1,5.554
ANGEL RUIZ IBANEZ SA,1399,U1,2021,13499.8216232759,37,LOGRONO,3992.61661069715,9750.36356154048,13742.9801722376,5619.44108391573,4322.84735333419,13499.8216232759,666.106535096526,666.106535096526,14.661,4.847,6.103
TECNOLOGIA DEPORTIVA SA,1394,U1,2021,13449.5459713197,77,CALLOSA DE SEGURA,4304.82009402037,6154.35073310852,10459.1708271289,6633.38516575098,680.299772479534,13449.5459713197,1893.72810088634,1893.72810088634,36.889,18.106,18.194
AZNAR TEXTIL SL,1392,U1,2022,13387.0251286943,57,PATERNA,1570.83815649688,12969.4995254951,14540.3376819919,12467.1365319703,318.834543032749,13387.0251286943,1377.09893317056,1377.09893317056,13.07,9.471,12.172
HIJO DE J BASSOLS SL,1320,U1,2021,13123.400290339,40,SANT JOAN DESPI,4532.28555964193,9496.86088336265,14029.1464430046,7339.76389843411,2887.11783162375,13123.400290339,142.085388131618,142.085388131618,1.936,1.013,1.083
NONWOVENS IBERICA SL,1320,U1,2022,13091.7042783714,42,MURO DE ALCOY,7296.71526302956,5177.39448441224,12474.1097474418,6439.14317478036,3612.27984516147,13091.7042783714,-113.540763446504,-113.540763446504,-3.044,-0.91,-1.497
HILATURAS MIEL SL,1310,U1,2021,13005.2187148465,99,MUTXAMEL,3336.8180182369,12887.2723702445,16224.0903884814,6600.64247235639,3918.39756172106,13005.2187148465,193.892077857471,193.892077857471,2.694,1.195,1.367
HILADOS OLOTENSES SA,1320,U1,2022,12885.2132519453,33,LES PRESES,1710.32021366288,5397.46357830773,7107.78379197061,2474.57201423804,2027.02467176988,12885.2132519453,702.761977433235,702.761977433235,37.567,9.887,7.215
TEXTIL OLIUS SA,1399,U1,2022,12555.843287559,94,SANT CUGAT DEL VALLES,3634.8166123786,10671.4129306681,14306.2295430467,12731.3336211909,301.940982632339,12555.843287559,1043.19298382052,1043.19298382052,10.962,7.292,11.115
CENTRO TEXTIL MASSANA SL,1391,U2,2021,12502.488586004,61,MATARO,219.031727322078,7639.88277432275,7858.91450164483,4235.31502945797,837.991905829883,12502.488586004,253.364862239821,253.364862239821,9.328,3.224,3.16
FRANCISCO JOVER SA,1310,U1,2021,12485.5576271578,60,COCENTAINA,4828.42388909798,11375.9357865551,16204.3596756531,13534.7961848584,504.752036717963,12485.5576271578,36.4995286144495,36.4995286144495,0.596,0.225,0.646
