Nombre empresaAlfabeto latino,NACE Rev. 2 Código principal (4 digitos),Código de consolidación,Último año disponible,"Ingresos explotación (Cifra ventas)
mil USD Últ, año disp,","Número de empleados
Últ. año disp.","Ciudad
Latin Alphabet","Activos fijos
mil USD Últ. año disp.","Activo circulante
mil USD Últ. año disp.","Activos totales
mil USD Últ. año disp.","Fondos de los accionistas
mil USD Últ. año disp.","Deuda a largo plazo
mil USD Últ. año disp.","Ingresos explotación (Cifra ventas)
mil USD Últ. año disp.","Resultado actividades ordinarias
mil USD Últ. año disp.","P/G por periodo [=ingresos netos]
mil USD Últ. año disp.","ROE - base: result. antes impuestos
Últ. año disp.","ROA utilizando Ingresos Netos
Últ. año disp.","Margen de beneficio
Últ. año disp."
CARNIQUES DE JUIA SOCIEDAD ANONIMA,1011,U1,2022,440242.24092799,334,JUIA,15104.4292321241,145945.364542703,161049.793774827,136401.631583884,292.857042772704,440242.24092799,9172.24661774612,9172.24661774612,8.678,5.695,2.689
FRISELVA SA,1011,C2,2021,435110.028930267,726,RIUDELLOTS DE LA SELVA,70038.7596563193,152036.04354038,222074.803196699,169887.998548224,12677.2223445766,435110.028930267,37256.2139757073,37256.2139757073,27.469,16.776,10.725
COSTA FOOD MEAT S.L.,1011,U1,2022,433108.43311111,602,VIC,77570.3870534469,124427.498847361,201997.885900808,27797.8547449088,38333.6097451519,433108.43311111,-6676.62416400983,-6676.62416400983,-32.507,-3.305,-2.086
ULTRACONGELADOS VIRTO SAU,1039,U2,2021,430302.204187741,731,AZAGRA,205873.232549303,287184.200084183,493057.432633486,186987.931393427,72866.2611566651,430302.204187741,2096.39949491652,2096.39949491652,1.434,0.425,0.623
CONSERVAS EL CIDACOS SA,1039,C2,2022,418624.300149083,1095,AUTOL,121077.174108624,279647.453428507,400724.627537131,273177.460932732,13214.1010600328,418624.300149083,1577.50064313412,1577.50064313412,1.144,0.394,0.746
"AMC NATURAL DRINKS, SOCIEDAD LIMITADA.",1032,U1,2022,417209.868,437,MURCIA,101784.988,253386.662,355171.65,49242.324,122668.274,417209.868,6854.416,6854.416,18.594,1.93,2.195
PATEL SA,1011,U1,2022,410541.308446006,201,L'ESQUIROL,68349.6662834501,54697.6728035128,123047.339086963,25790.7937330866,4148.76696187139,410541.308446006,2783.40655735493,2783.40655735493,14.273,2.262,0.897
COREN AGROINDUSTRIAL SA,1091,U1,2022,409457.900416412,132,OURENSE,84927.9362555951,70039.1769384432,154967.113194038,17620.9882978612,21058.6512477118,409457.900416412,1461.28609609246,1461.25409810781,9.904,0.943,0.426
S.C. LTDA BAJO DUERO,1091,U1,2021,408462.76665772,217,MORALEJA DEL VINO,79794.9705387712,117821.976027482,197616.946566253,79796.9061526966,23833.3094025779,408462.76665772,1628.9986354208,1628.9986354208,2.454,0.824,0.479
DE HEUS NUTRICION ANIMAL SAU,1091,U2,2022,404541.987105608,400,A CORUNA,95213.2031178474,85342.8914535046,180556.094571352,57775.5610799789,268.783071041107,404541.987105608,987.671126127243,987.671126127243,3.253,0.547,0.465
MONBAKE GRUPO EMPRESARIAL SAU,1071,U2,2022,400743.82632792,1632,ARANGUREN,412488.153293133,118024.566373229,530512.719666362,132655.111553669,292463.712879419,400743.82632792,-21722.3651778698,-21722.3651778698,-13.203,-4.095,-4.371
ARGAL ALIMENTACION SA.,1013,C2,2021,394314.7970438,1257,ZARAGOZA,91912.7801513672,221408.636305332,313321.416456699,102268.144762516,47607.721323967,394314.7970438,12625.0956273079,12625.0956273079,14.467,4.029,3.752
SCHREIBER FOODS ESPANA S.L.,1051,U1,2021,393462.084924316,756,NOBLEJAS,108023.045488787,42369.134569459,150392.180058246,78888.3466446519,4531.11250285149,393462.084924316,6266.21879807711,6266.21879807711,10.389,4.167,2.083
IFF NUTRITION AND BIOSCIENCES IBERICA SL.,1061,U2,2022,381981.274729967,277,SILLA,24856.0344743729,172441.405664682,197297.440139055,85804.7290319204,100.260351896286,381981.274729967,33655.4802525043,33655.4802525043,50.523,17.058,11.349
PANAMAR BAKERY GROUP SL.,1072,U1,2022,380719.216139118,358,ALBUIXECH,57884.3100065665,79636.0296342504,137520.339640817,82053.5007329168,20038.8934811873,380719.216139118,12985.4835872128,12985.4835872128,21.443,9.443,4.621
AVINATUR PRODUCCIONES AVICOLAS SL.,1013,U1,2022,377668.701551888,542,EL VISO DEL ALCOR,41518.5156759143,56076.0318559927,97594.547531907,41550.924301365,0.0,377668.701551888,6853.59713492632,6853.59713492632,20.256,7.023,2.229
PROCAVI SL,1011,U1,2022,376509.570291625,800,MARCHENA,65520.3895485032,149718.236321186,215238.62586969,94483.0453725684,5418.6592459923,376509.570291625,6915.9142766273,6915.9142766273,9.18,3.213,2.304
LACTALIS FORLASA SOCIEDAD LIMITADA,1051,U2,2022,372660.542349741,84,VILLARROBLEDO,89.3106628818154,67430.7883818027,67520.0990446845,36585.6572457106,0.0,372660.542349741,771.400193009442,771.400193009442,1.087,1.142,0.107
FRIBIN FOODS SL.,1011,U1,2022,366681.041595635,678,BINEFAR,57968.7457124913,79527.6342533952,137496.379965886,47309.2826851737,16352.7727081358,366681.041595635,134.875771688223,134.875771688223,0.397,0.098,0.051
CARNIQUES CELRA SL,1011,C2,2022,366219.087501891,100,CELRA,58024.2372040971,193260.365171739,251284.602375837,169091.762962989,32298.5828136255,366219.087501891,16588.6237829567,16588.6237829567,13.063,6.602,6.031
FJ SANCHEZ SUCESORES SA,1041,U1,2021,366038.198041698,85,SORBAS,39098.5676735683,119992.923284344,159091.490957913,22529.6637829172,19402.2113178415,366038.198041698,1282.75377048329,1282.75377048329,7.504,0.806,0.462
ROQUETTE LAISA ESPANA SA,1062,U1,2021,325490.074160099,233,BENIFAIO,63634.0156745911,246539.904527664,310173.920202255,248289.772002697,284.282677173615,325490.074160099,8295.16465187073,8295.16465187073,4.316,2.674,3.292
FRIBIN S. A. T. N. 1269 R. L.,1011,U1,2021,323315.954996696,590,BINEFAR,55389.9256335855,75245.5971211624,130635.522754748,49886.9480611038,17868.3713470888,323315.954996696,1849.76961775303,1849.76961775303,4.785,1.416,0.738
LECHE CELTA SL,1051,C2,2022,319947.551978203,325,PONTEDEUME,43705.7965794832,78568.1544183421,122273.950997825,70137.7275313598,3864.94697124481,319947.551978203,1226.36435900509,1226.36435900509,0.52,1.003,0.114
FRESCOS Y ELABORADOS DELISANO SAU,1013,U1,2022,313509.496660239,968,CHESTE,40489.4802430651,70667.1706223954,111156.65086546,26364.6305187086,31842.9015301299,313509.496660239,1018.65262013069,1018.65262013069,4.981,0.916,0.419
CARNICA BATALLE SA,1011,U2,2021,310723.919654102,496,RIUDARENES,24952.7041907356,108283.371132433,133236.075323168,116218.043886871,324.789560869932,310723.919654102,35270.3278855704,35270.3278855704,40.046,26.472,14.978
"HARINERA LA META, SAU",1061,U1,2022,306975.000835123,186,BARCELONA,87614.2751772979,102039.773475021,189654.048652319,69097.8153329032,9190.47806679489,306975.000835123,5007.64612512947,5007.64612512947,8.744,2.64,1.968
JACOBS DOUWE EGBERTS ES SLU,1083,U2,2021,304427.10624218,208,MOLLET DEL VALLES,352255.684626102,36257.9336428642,388513.618268967,231614.497675896,0.0,304427.10624218,8625.88394165039,8625.88394165039,4.715,2.22,3.588
FABRICA MATADERO Y DESPIECE SA,1011,U2,2021,300486.781278008,595,MALAGA,71789.7246776801,79747.2796166286,151537.004294309,72685.5042862874,20783.3418929317,300486.781278008,9811.55660835843,9811.55660835843,17.175,6.475,4.155
CEREALTO INDUSTRIAL SPAIN SA.,1072,C2,2021,299459.52129364,1544,VENTA DE BANOS,216605.278401375,266955.025069714,483560.303471088,162316.347863674,4828.27511072159,299459.52129364,-44881.5523838997,-14510.8751392365,-23.774,-3.001,-12.886
CARNICAS FRIVALL SL,1011,U1,2022,299441.199468926,55,VILLAR DE OLALLA,38651.5485148507,45063.0161634055,83714.5646782562,33744.0785975839,3248.84148786283,299441.199468926,8149.98362234364,8149.98362234364,31.456,9.735,3.545
F. FAIGES SL,1041,U1,2022,298695.563103882,191,TORTOSA,45299.5116787038,82538.9741773244,127838.485856028,35130.4700401539,10503.27644853,298695.563103882,5449.12122071701,5449.12122071701,20.749,4.263,2.44
LACTEOS INDUSTRIALES AGRUPADOS SA,1051,C2,2022,294083.813506114,414,ALOVERA,140670.560844153,110016.164105564,250686.724949717,103927.513991426,73208.7426407236,294083.813506114,15556.9806967473,15556.9806967473,19.698,6.206,6.961
CONGELADOS DE NAVARRA S.A.U.,1039,U1,2022,286936.509003305,788,ARGUEDAS,115314.801044342,196001.591089788,311316.39213413,72227.3004556078,53986.3661375892,286936.509003305,9156.30330191553,9156.30330191553,14.412,2.941,3.628
FRIMAR PANADEROS SLU,1072,U1,2022,286142.403829674,1076,ALBUIXECH,117945.264914597,45486.7782092935,163432.04312389,77554.381938842,13065.1839647195,286142.403829674,17628.4601035257,17628.4601035257,30.311,10.786,8.215
FRIT RAVICH SL,1031,U1,2022,280982.361168646,950,MACANET DE LA SELVA,41527.7407482182,68864.9978046183,110392.738552836,37053.911156002,16976.8704454692,280982.361168646,1287.8619256593,1287.8619256593,4.619,1.167,0.609
"INDUSTRIAS FRIGORIFICAS DEL LOURO, SA",1011,C2,2022,277234.345681687,685,O PORRINO,40861.0882831401,82902.5630211449,123763.651304285,18695.3771621823,51766.2702341646,277234.345681687,667.518490532637,667.518490532637,8.926,0.539,0.602
REFRESCO IBERIA SAU,1032,U1,2022,276316.463226676,755,OLIVA,88914.9331396818,82499.3372178078,171414.27035749,26687.3857957125,49058.2434624434,276316.463226676,-2554.50577437878,-2554.50577437878,-12.342,-1.49,-1.192
FRIGORIFICOS ANDALUCES DE CONSERVAS DE CARNE SA,1013,U1,2021,265735.153444253,39,CARTAMA,68003.7345510703,61007.9762019441,129011.710753014,70609.6347077047,20349.2399377466,265735.153444253,1143.91127136877,1143.91127136877,1.966,0.887,0.522
PIENSOS MONTULL SL,1091,C2,2021,262478.959116397,214,FRAGA,92489.4395318777,156779.052048836,249268.491580714,148863.309134222,60353.2433972068,262478.959116397,10747.7406796163,10747.7406796163,9.076,4.312,5.148
CINCAPORC SA,1091,U1,2021,262440.50515004,50,FRAGA,52072.7047153185,154347.916054303,206420.620769621,140849.268042792,32925.8561118882,262440.50515004,10163.3473039283,10163.3473039283,9.043,4.924,4.854
IPA CAPITAL SL.,1073,C2,2022,257366.728751531,628,EL CARPIO,199161.455003123,130937.682657071,330099.137660194,131482.275556582,101089.112497857,257366.728751531,1714.89572281361,1714.89572281361,2.239,0.52,1.144
PIENSOS DEL SEGRE SA,1091,C2,2022,254236.74455626,109,BALAGUER,18225.2691713345,114071.821198509,132297.090369843,96606.6097559077,2030.18146494329,254236.74455626,5239.55799312293,5239.55799312293,7.093,3.96,2.695
INDUSTRIAS CARNICAS TELLO SA,1013,C2,2021,242001.925306995,1147,TOTANES,99571.8507152348,112326.872734052,211898.723449286,70097.586950267,51078.5036916549,242001.925306995,3552.17892000647,3552.17892000647,6.672,1.676,1.933
FRONERI IBERIA SL,1052,U1,2022,241254.138249159,772,ASPARRENA,156228.026843667,66901.3863015175,223129.413145185,44806.7779022455,100822.449826598,241254.138249159,6927.56367623806,6927.56367623806,14.421,3.105,2.678
ANGULAS AGUINAGA SAU,1020,U1,2022,238118.335753679,676,IRURA,132321.265913844,69198.841599226,201520.10751307,24890.1656579971,116167.616664171,238118.335753679,-7586.72215998173,-7586.72215998173,-41.944,-3.765,-4.384
CALVO CONSERVAS SL,1020,U1,2022,236778.686796427,470,CARBALLO,41904.5606946945,86662.2750204802,128566.835715175,11651.5328097343,11364.6175473928,236778.686796427,623.960700631142,623.960700631142,5.959,0.485,0.293
COOP D IVARS I SECCIO DE CREDIT S.C.C.L.,1091,U1,2020,232744.188820639,114,IVARS D'URGELL,35688.0309635689,108033.566042203,143721.597005772,28150.8888567929,11831.9392578157,232744.188820639,3715.31842875472,3715.31842875472,16.027,2.585,1.938
GRUPO EMPRESARIAL PALACIOS ALIMENTACION SAU,1013,U2,2021,231393.64061594,484,ALBELDA DE IREGUA,188039.96604681,74647.4210643768,262687.387111187,50045.0771856308,140944.180061817,231393.64061594,688.620986938477,688.620986938477,-0.898,0.262,-0.194
DULCES Y CONSERVAS HELIOS SA,1039,C2,2022,226659.85745132,883,ARROYO DE LA ENCOMIENDA,44600.9242010117,138240.893073678,182841.81727469,100637.928115129,20367.7838277817,226659.85745132,2778.49166691303,2778.49166691303,4.335,1.52,1.925
PIENSOS PROCASA SA,1091,U1,2022,226586.797018271,51,REUS,5742.35697030402,40401.583464465,46143.940434769,25399.2183319638,2260.9823309118,226586.797018271,1474.18658490496,1474.18658490496,7.477,3.195,0.838
SARVAL BIO-INDUSTRIES S.L.,1041,U1,2022,223617.915710807,245,GRANOLLERS,44974.2340219021,45089.426766634,90063.6607885361,41801.1005443335,235.718486905098,223617.915710807,11240.8920067549,11240.8920067549,36.33,12.481,6.791
GRUPO LECHE RIO SA.,1051,U2,2022,222629.829613483,163,LUGO,41687.9112147523,74449.2768059282,116137.188020681,56659.178252594,5216.96609337826,222629.829613483,5391.82504277703,5391.82504277703,12.642,4.643,3.217
LA COMARCA MEATS SLU,1011,U1,2022,216519.535571893,51,LORCA,46840.6348903573,54618.5173516847,101459.152242042,4134.18794411222,30888.4636601817,216519.535571893,899.73381567991,899.73381567991,28.934,0.887,0.552
GRUP BAUCELLS ALIMENTACIO SL,1011,U2,2022,215280.708083195,419,VIC,56617.3008475223,63118.1390165221,119735.439864044,34184.9030781496,25846.8595565189,215280.708083195,-6224.04929819382,-6224.04929819382,-18.794,-5.198,-2.984
GRUPO YBARRA ALIMENTACION SL,1084,C2,2021,213747.868436837,236,DOS HERMANAS,87205.909464291,74157.1328885593,161363.04235285,35977.461191689,35770.2455096166,213747.868436837,-3870.48599771261,-3870.48599771261,-13.562,-2.399,-2.283
VEGA MAYOR SL,1039,C2,2022,213703.873467445,1193,MILAGRO,1421.7771178484,49035.8448731899,50457.6219910383,273.049468994141,253.85067820549,213703.873467445,314.646849036217,314.646849036217,151.953,0.624,0.194
SOVENA OILSEEDS ESPANA SA,1041,U1,2021,213135.216446764,127,BRENES,27319.0759930515,43173.7179714775,70492.793964529,7991.14075133801,19862.0786075163,213135.216446764,4123.98006812811,4123.98006812811,68.811,5.85,2.58
VIDAL GOLOSINAS SA,1082,C2,2022,212303.847032991,693,MOLINA DE SEGURA,49739.636833751,75349.4218181094,125089.05865186,44980.7240878002,18863.9396654881,212303.847032991,2190.42922794234,2190.42922794234,5.156,1.751,1.092
"COMPANIA ESPANOLA DE ALGAS MARINAS, SA",1089,C2,2022,211668.976566164,369,O PORRINO,36120.3724710786,135202.049804679,171322.422275757,97221.922467888,25886.4869059742,211668.976566164,19503.9587680346,19503.9587680346,25.726,11.384,11.816
JUAN Y JUAN INDUSTRIAL SL,1089,U1,2022,206544.957962607,810,VILALLONGA/VILLALONGA,65982.2164609241,61809.3667492074,127791.583210132,63999.0336358315,15576.4706691962,206544.957962607,-7200.87872850478,-7200.87872850478,-15.472,-5.635,-4.794
TEREOS STARCH & SWEETENERS IBERIA S.A.U.,1062,U1,2021,204776.992880545,195,ZARAGOZA,65991.8022106381,63127.5574467536,129119.359657392,73264.3160527637,911.119857335687,204776.992880545,4723.86819515288,4723.86819515288,8.604,3.659,3.078
PRIMACARNE SL,1013,U1,2022,202810.458241975,168,ZUERA,2379.28481044769,82837.9932213247,85217.2780317724,56380.1929654598,0.0,202810.458241975,7937.48406769037,7937.48406769037,19.31,9.314,5.368
IDILIA FOODS SLU,1082,U2,2021,202708.753417615,329,VALENCIA,73983.4898240828,105101.238069144,179084.727893227,145160.83674707,25.2456608533859,202708.753417615,17113.0973190742,17113.0973190742,15.428,9.556,11.048
INLEIT INGREDIENTS S.L.U.,1051,U1,2022,200954.142093014,189,CURTIS,128924.186007922,64431.6805194527,193355.866527375,28535.6107209563,107973.157848374,200954.142093014,7833.13117355764,7833.13117355764,34.924,4.051,4.959
